"Year","total"
"1969",158
"1970",162.5
"1971",212
"1972",213.5
"1973",192
"1974",161
"1975",200.5
"1976",193.5
"1977",186.5
"1978",148.5
"1979",146.5
"1980",130.5
"1981",116.5
"1982",124
"1983",118
"1984",88.5
"1985",116
"1986",90.5
"1987",84.5
"1988",112.5
"1989",101
"1990",133
"1991",120
"1992",129
"1993",93.5
"1994",84
"1995",72
"1996",92.5
"1997",86.5
"1998",71.5
"1999",84.5
"2000",88.5
"2001",91
"2002",70.5
"2003",89
"2004",75.5
"2005",95.5
"2006",107.5
"2007",100
"2008",91.5
"2009",105.5
"2010",107.5
"2011",95
"2012",104.5
"2013",119.5
"2014",113
"2015",114
