"Year","Red-eyed Vireo"
"1969",20
"1970",24
"1971",29
"1972",22
"1973",26
"1974",23
"1975",31
"1976",30
"1977",23.5
"1978",20
"1979",16
"1980",13
"1981",26
"1982",23
"1983",22
"1984",20.5
"1985",21.5
"1986",22
"1987",19.5
"1988",22
"1989",22.5
"1990",24
"1991",25.5
"1992",15
"1993",16.5
"1994",18.5
"1995",18
"1996",19
"1997",22
"1998",17
"1999",23.5
"2000",28
"2001",29
"2002",19
"2003",21
"2004",21
"2005",24.5
"2006",22
"2007",19
"2008",19.5
"2009",27
"2010",23.5
"2011",22
"2012",24
"2013",28
"2014",31
"2015",30
