"YEAR","Avlitter"
1992,4.25916666666667
1992,3.328
1992,3.8804
1992,5.37866666666667
1993,12.7216666666667
1993,14.43875
1993,16.5248
1993,9.29323529411765
1993,6.39083333333333
1993,9.0125
1993,9.32540540540541
1993,10.37225
1994,11.5766666666667
1994,12.805
1994,14.1511111111111
1994,12.0433333333333
1994,20.481
1994,18.9355
1994,18.6195
1994,6.3135593220339
1994,8.293
1994,8.54983050847458
1994,9.69593220338983
1995,10.63
1995,10.5632432432432
1995,11.5944444444444
1995,11.4369444444444
1995,11.7893333333333
1995,12.5572413793103
1995,11.3851851851852
1995,7.09538461538462
1995,7.6375
1995,8.86758620689655
1995,9.26483333333333
1996,10.2897777777778
1996,10.9247222222222
1996,13.2569444444444
1996,11.4230555555556
1996,11.432
1996,10.7613333333333
1996,10.3446666666667
1996,9.16756756756757
1996,11.04125
1996,11.5935
1996,11.8715
1997,10.766511627907
1997,10.1711111111111
1997,12.5357142857143
1997,11.9420588235294
1997,11.1823333333333
1997,12.1553333333333
1997,9.955
1997,7.61196428571429
1997,7.65508771929825
1997,9.524
1997,11.0766101694915
1998,8.28288888888889
1998,12.3945714285714
1998,12.8280555555556
1998,9.25294117647059
1998,15.5865
1998,12.115
1998,7.85866666666667
1998,9.19803571428571
1998,10.0830357142857
1998,8.19851851851852
1998,9.7785
1999,8.32023255813954
1999,10.1344444444444
1999,11.6844444444444
1999,9.09147058823529
1999,11.673
1999,10.166
1999,10.6036666666667
1999,9.52627118644068
1999,10.337
1999,10.8151724137931
1999,11.2943333333333
2000,11.6402222222222
2000,12.5694444444444
2000,14.2130555555556
2000,13.6938235294118
2000,13.2983333333333
2000,14.8063333333333
2000,13.1851724137931
2000,10.0518518518519
2000,10.912
2000,12.1968333333333
2000,10.8784745762712
2001,7.12088888888889
2001,9.27166666666667
2001,11.3983333333333
2001,9.498
2001,11.6686666666667
2001,11.967
2001,9.56766666666667
2001,8.65516666666667
2001,8.42631578947368
2001,9.02583333333333
2001,9.31066666666667
2002,8.90613636363636
2002,9.63055555555555
2002,13.0163888888889
2002,8.02625
2002,10.7503333333333
2002,11.229
2002,7.83233333333333
2002,8.68155172413793
2002,7.68271186440678
2002,8.22881355932203
2002,8.42966101694915
2003,8.39177777777778
2003,9.035
2003,12.3602777777778
2003,9.51264705882353
2003,9.888
2003,10.2827586206897
2003,7.12413793103448
2003,8.41966101694915
2003,8.60316666666667
2003,8.85949152542373
2003,8.20566666666667
2004,8.97568181818182
2004,9.47342857142857
2004,12.6366666666667
2004,10.2338709677419
2004,9.75074074074074
2004,11.8804166666667
2004,7.02615384615385
2004,8.63
2004,8.76066666666667
2004,9.51766666666667
2004,9.4275
2005,9.08684210526316
2005,8.93
2005,12.1705555555556
2005,9.35277777777778
2005,9.99076923076923
2005,10.8383333333333
2005,5.56826086956522
2005,11.1406896551724
2005,8.52
2005,9.39383333333333
2005,10.2235593220339
2006,9.40444444444444
2006,0.842121212121212
2006,10.548
2006,9.44823529411765
2006,1.2
2006,9.234
2006,0.687333333333333
2006,8.11627118644068
2006,7.24383333333333
2006,7.58576271186441
2006,7.49410714285714
2007,22.639375
2007,16.8066666666667
2007,25.370625
2007,28.4125
2007,17.871875
2007,17.8347058823529
2007,17.6792857142857
2007,12.3836363636364
2007,12.9285714285714
2007,14.341
2007,16.3929032258065
2008,12.1868965517241
2008,9.78142857142857
2008,13.7868571428571
2008,12.0871428571429
2008,9.76869565217391
2008,10.9836666666667
2008,8.950625
2008,7.96483870967742
2008,11.69325
2008,12.1020512820513
2008,13.2488235294118
2009,18.1912
2009,14.9485
2009,21.87
2009,16.3654545454545
2009,15.8944444444444
2009,15.9468421052632
2009,15.360625
2009,15.8472222222222
2009,13.1217391304348
2009,13.995
2009,15.314
2010,9.54923076923077
2010,8.00333333333333
2010,8.97416666666667
2010,7.81228571428571
2010,10.0817857142857
2010,7.91733333333333
2010,9.972
2010,9.49638888888889
2010,8.23388888888889
2010,9.2275
2010,8.83361111111111
2011,10.6666666666667
2011,16.4204347826087
2011,12.5683333333333
2011,14.6216
2011,10.4843333333333
2011,15.5419047619048
2011,10.685
2011,11.8041176470588
2011,10.2371428571429
2011,11.9848571428571
2011,9.56393939393939
2012,11.8968421052632
2012,8.65722222222222
2012,11.3497222222222
2012,11.4408571428571
2012,10.8993103448276
2012,11.5873333333333
2012,9.06392857142857
2012,11.2661111111111
2012,10.8885714285714
2012,11.7021212121212
2012,11.2508333333333
2013,10.8105263157895
2013,10.3605555555556
2013,13.6917142857143
2013,10.8438235294118
2013,12.567
2013,12.568
2013,9.93666666666667
2013,12.2627586206897
2013,13.4861764705882
2013,11.625
2013,12.1625806451613
