"","RECYEAR","Pl"
"1",1981,0
"2",1981,0
"13",1982,1
"14",1982,2
"27",1983,1
"28",1983,0
"41",1984,0
"42",1984,0
"55",1985,0
"56",1985,0
"69",1986,0
"70",1986,0
"83",1987,0
"84",1987,0
"97",1988,0
"98",1988,0
"111",1989,0
"112",1989,0
"125",1990,0
"126",1990,1
"139",1991,0
"140",1991,0
"153",1992,0
"154",1992,0
"167",1993,0
"168",1993,2
"181",1994,0
"182",1994,0
"195",1995,0
"196",1995,0
"209",1996,0
"210",1996,0
"223",1997,0
"224",1997,1
"237",1998,0
"238",1998,1
"251",1999,1
"252",1999,0
"265",2000,0
"266",2000,0
"279",2001,0
"280",2001,0
"293",2002,0
"294",2002,0
"307",2003,0
"308",2003,0
"321",2004,0
"322",2004,0
"335",2005,0
"336",2005,0
"349",2006,0
"350",2006,0
"363",2007,1
"364",2007,0
"377",2008,0
"378",2008,0
"391",2009,0
"392",2009,0
"405",2010,0
"406",2010,1
"419",2011,0
"420",2011,0
"433",2012,0
"434",2012,0
"447",2013,0
"448",2013,0
